Date,Calories (kcal),Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Move Minutes count,Inactive duration (ms),Walking duration (ms),Running duration (ms)
2018-12-15,2495.0124793975697,7335.794294953346,0.7122956762583941,1.8429429531097408,0.2510583996772766,13776,190.0,70572251,12836239.0,193954.0
2019-01-03,2478.02911211905,9539.265057206154,0.7032053633848224,2.8204021453857417,0.25490400195121765,13766,135.0,74449719,6833478.0,2155073.0
2019-02-09,2464.0063971931563,7484.317879438399,0.6251539213311396,2.9500000476837163,0.2629642784595489,14060,172.0,73968473,10568275.0,1148210.0
2019-02-23,2415.538955966691,8275.506109714508,0.66688115615675,1.839166045188904,0.2487403005361557,15001,169.0,75678519,7152954.0,2168364.0
2019-03-10,2269.32055486048,6284.965999722481,1.077803816288403,4.050000190734863,0.24889880418777466,11638,136.0,74879804,7778526.0,915039.0
2019-03-11,2505.5742177459233,8627.226446926594,1.2783543975970502,25.809999465942386,0.2510583996772766,14121,168.0,67138059,12100833.0,652268.0
2019-03-12,1881.0498676440548,7293.5267627835265,1.9029744668711392,15.020000457763672,0.2528320550918579,12416,164.0,44253455,10989733.0,217650.0
2019-03-13,2828.5082388076507,11494.40606248379,0.7058845849237301,1.6251306533813477,0.25019562244415283,20954,265.0,62150021,19431752.0,174568.0
2019-04-13,2339.1381346037588,5838.4417905807495,0.5852020160867566,1.8743665218353271,0.2406712770462036,12294,164.0,68312779,9804820.0,554884.0
2019-05-05,2205.298527778969,5534.2447816729555,0.6827994481508415,1.8114984035491943,0.2594341039657593,11018,128.0,73980949,8012354.0,30582.0
2019-05-16,1863.4327626386373,1038.3257228136065,0.9479592838283448,15.3100004196167,0.2713106274604797,3666,58.0,75782171,2156545.0,70433.0
2019-05-18,1932.4698714054584,3630.014505445957,1.0313338403846024,2.940000057220459,0.3665958344936371,6562,68.0,80290435,3284274.0,62400.0
2019-05-25,1926.452310442416,3026.679416000843,0.7544960295196346,1.9037766456604004,0.26166290044784546,8500,115.0,77804484,3492799.0,60496.0
2019-06-09,1826.2164259792262,1198.6902640461924,0.8862471925442681,1.5422095060348509,0.30535632371902466,3955,49.0,84460376,1299488.0,60801.0
2019-06-24,1946.941338130677,2071.3784825205803,0.6534770264432949,2.051687479019165,0.2493112683296204,7596,101.0,69559263,3958389.0,178030.0
2019-06-25,1881.2358397301048,1194.2214710712433,2.7911735961502657,9.229999542236328,0.2510583996772766,4119,56.0,76728363,2178318.0,143389.0
2019-07-07,1942.3668353063536,3412.007131576538,0.6713562412248629,1.7876447439193726,0.25950056314468384,7664,101.0,68226187,5095295.0,191077.0
2019-07-09,1816.5961491412,760.488129556179,4.245879498162367,11.800000190734865,0.25821882486343384,3814,50.0,79894086,1282487.0,61454.0
2019-07-26,2043.9551541670685,4681.625661611557,1.527401735169541,7.369999885559082,0.3036487102508545,9301,113.0,72893477,5321227.0,131430.0
2019-09-02,1939.036411411116,1988.498329758644,2.229246819762161,16.280000686645508,0.31140443682670593,7253,99.0,80320361,3110521.0,78424.0
2019-09-08,2176.537961290253,5675.675281208009,2.033456498498837,12.829999923706055,0.316853404045105,8191,82.0,75391287,1433976.0,1965502.0
2019-09-15,2172.509410341031,5534.1084357775235,0.8357683012239224,18.239999771118164,0.2642495036125183,7913,69.0,81406962,1076766.0,1981215.0
2019-09-25,1908.6500481363653,3024.258316636085,2.2421494050500343,15.097489356994627,0.33804744482040405,7293,97.0,74113869,3801686.0,61461.0
2019-09-29,2268.7759025154114,8222.272753238678,1.2099628295180225,12.145428657531738,0.3164164125919342,11746,115.0,79664071,3487096.0,1904514.0
2019-10-08,1755.5716397115075,963.0904610157013,0.9717342512228772,10.918676376342773,0.32622283697128296,4461,58.0,80686122,1291883.0,72983.0
2019-10-20,2349.622977197415,8595.2582193017,0.7360456476212379,4.967587947845459,0.2679249346256256,15223,161.0,78207914,4622701.0,1905543.0
2019-10-27,2321.450253117,7934.438784420491,0.8538276049303318,8.419540405273438,0.32360005378723145,11540,131.0,76743340,4196596.0,1906075.0
2019-11-04,2155.48376131541,8265.689954042435,0.6093553451399145,4.3245487213134775,0.042667873203754425,11066,124.0,76423770,2013786.0,2187147.0
2019-11-16,2205.491156641803,10765.523117303848,0.8494063961208667,1.517193078994751,0.2642601430416107,15794,209.0,76542686,8489517.0,117702.0
2019-12-17,1993.573286995848,6351.055751079045,0.7713145889824865,15.027382850646973,0.26027244329452515,10114,144.0,73857789,5180974.0,60806.0
2020-01-02,1780.089783118369,3128.749381542206,0.7809980436192303,10.243242263793944,0.26027244329452515,5231,76.0,78417119,1645946.0,67955.0
2020-01-16,1903.9431460072335,4279.319683313371,2.5878613120126532,25.20000076293945,0.24711720645427704,7274,110.0,63802384,3796050.0,30415.0
2020-01-29,1827.9690543978124,3758.179292678833,1.912068461729468,7.550000190734862,0.2426324337720871,5944,71.0,81354985,2358443.0,120397.0
